"Source:","C:\Users\krets\Documents\DevinPCB\Boards\BPS-AmperesPCB\BPS-Amperes.kicad_sch"
"Date:","9/30/2023 4:03:00 PM"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","36"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Mfg","P/N"
"1","4","C1, C3, C9, C11","1uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/80-C0805C105K5P","","C0805C105K5PACTU",""
"2","4","C2, C5, C7, C8","2.2uF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C225K5RACAUTO?qs=HBWAp0VN4RhaI2JFGdfu4w%3D%3D","","UMK212ABJ225KG-T",""
"3","1","C4","470nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C474K3RAC?qs=1r5zKhvYIsjK11w1M%252BoEzg%3D%3D","","C0805C474K3RAC",""
"4","1","C6","47pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C470JAGACAUTO?qs=f0OuG6fVDNYyqynuVfVSSA%3D%3D","","C0805C470JAGACAUTO",""
"5","3","C10, C12, C13","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D","","C0805C104M5RACTU",""
"6","1","D1","3.0V±0.05","Device:D_Zener","Diode_SMD:D_0805_2012Metric","https://www.mouser.com/datasheet/2/916/BZT52H_Q_SER-2721682.pdf","","BZX38450-C3V0X",""
"7","1","D2","PowerOn","Device:LED","LED_SMD:LED_0805_2012Metric","~","","APTD2012LCGCK",""
"8","2","FB1, FB2","FerriteBead_Small","Device:FerriteBead_Small","Inductor_SMD:L_0805_2012Metric","https://www.mouser.com/ProductDetail/Murata-Electronics/BLM21BD182SN1D?qs=1w%252B2sDiFrrHE8EOZOaQSCA%3D%3D","","BLM21BD182SN1D",""
"9","1","J1","Conn_02x10_Odd_Even","Connector_Generic:Conn_02x10_Odd_Even","UTSVT_Connectors:Molex_53307-2071","https://www.mouser.com/ProductDetail/Molex/53307-2071?qs=88IJkhYWEX1NdBDaDFqnDg%3D%3D","","","53307-2071"
"10","1","J2","ShuntConn","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","",""
"11","1","LOGO0","Dr. Hallock","utsvt-misc:Logo_Placeholder","UTSVT_Special:Hallock_Image_Tiny","","","",""
"12","1","LOGO1","UTSVT Logo","utsvt-misc:Logo_Placeholder","UTSVT_Special:UTSVT_Logo_Symbol","","","",""
"13","2","MH1, MH2","M.3","Mechanical:MountingHole","MountingHole:MountingHole_3mm","~","","",""
"14","2","R1, R2","1.2k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW08051K20FKEA?qs=sGAEpiMZZMvdGkrng054txEw7b1YnvGupB6U2wYbbWU%3D","","CRCW08051K20FKEA",""
"15","2","R3, R4","10k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW080510K0FKEAC?qs=E3Y5ESvWgWORadmUijPtxQ%3D%3D","","CRCW080510K0FKEAC",""
"16","1","R5","50","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","https://www.mouser.com/ProductDetail/Vishay-Beyschlag/MCU08050C4999FP500?qs=SrWqTHi7C4DOMypgR8IlmQ%3D%3D","","MCU08050C4999FP500",""
"17","1","R6","1.5k","Device:R_Small_US","Resistor_SMD:R_0805_2012Metric","~","","CRCW08051K50JNEB",""
"18","1","TP1","Ain_TP","Connector:TestPoint","Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Vertical","~","","",""
"19","1","TP2","+1V5_TP","Connector:TestPoint","TestPoint:TestPoint_Pad_1.5x1.5mm","~","","",""
"20","1","TP3","+3V0_TP","Connector:TestPoint","TestPoint:TestPoint_Pad_1.5x1.5mm","~","","",""
"21","1","U1","INA186A3IDDFT ","utsvt-chips:INA186A3QDBVRQ1","Package_TO_SOT_SMD:SOT-23-8","https://www.mouser.com/ProductDetail/Texas-Instruments/INA186A3IDDFT?qs=wnTfsH77Xs4bZM5PeQ9%252BVw%3D%3D","","INA186A3IDDFT ",""
"22","1","U2","OPA2196","Amplifier_Operational:OPA2196xD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.mouser.com/ProductDetail/Texas-Instruments/OPA2196ID?qs=EU6FO9ffTwckiWI91ID8yA%3D%3D","","OPA2196ID",""
"23","1","U3","LTC2315","utsvt-chips:LTC2315","Package_TO_SOT_SMD:SOT-23-8","https://www.mouser.com/ProductDetail/Analog-Devices/LTC2315ITS8-12TRMPBF?qs=hVkxg5c3xu9zBLlrgAxfpg%3D%3D","","584-C2315ITS8-12TMPF",""
"24","1","U4","REF1930AIDDCT","utsvt-power-regulators:REF1930AIDDCT","Package_TO_SOT_SMD:SOT-23-5","https://www.mouser.com/ProductDetail/Texas-Instruments/REF1930AIDDCT?qs=asCBFxFfL1QmJsJdAfkt%252BQ%3D%3D","","REF1930AIDDCT",""
